attempts,probability,status,block,decryption_level
377,0.76,intercepted,block,advanced
378,0.8,intercepted,block,advanced
379,0.73,intercepted,block,advanced
380,0.78,intercepted,block,advanced
381,0.78,intercepted,block,advanced
382,0.7,intercepted,block,advanced
383,0.77,intercepted,block,advanced
384,0.65,intercepted,block,advanced
385,0.75,intercepted,block,advanced
386,0.71,intercepted,block,advanced
387,0.64,susceptible,attempt,advanced
388,0.63,susceptible,attempt,advanced
389,0.67,intercepted,block,advanced
390,0.74,intercepted,block,advanced
391,0.81,intercepted,block,advanced
392,0.81,intercepted,block,advanced
393,0.71,intercepted,block,advanced
394,0.83,intercepted,block,advanced
395,0.69,intercepted,block,advanced
396,0.75,intercepted,block,advanced
397,0.69,intercepted,block,advanced
398,0.76,intercepted,block,advanced
399,0.65,intercepted,block,advanced
400,0.78,intercepted,block,advanced
401,0.75,intercepted,block,advanced
402,0.72,intercepted,block,advanced
403,0.8,intercepted,block,advanced
404,0.64,susceptible,attempt,advanced
405,0.71,intercepted,block,advanced
406,0.7,intercepted,block,advanced
407,0.73,intercepted,block,advanced
408,0.75,intercepted,block,advanced
409,0.67,intercepted,block,advanced
410,0.69,intercepted,block,advanced
411,0.73,intercepted,block,advanced
412,0.73,intercepted,block,advanced
413,0.69,intercepted,block,advanced
414,0.72,intercepted,block,advanced
415,0.89,intercepted,block,advanced
416,0.7,intercepted,block,advanced
417,0.73,intercepted,block,advanced
418,0.77,intercepted,block,advanced
419,0.73,intercepted,block,advanced
420,0.76,intercepted,block,advanced
421,0.71,intercepted,block,advanced
422,0.77,intercepted,block,advanced
423,0.59,susceptible,attempt,advanced
424,0.76,intercepted,block,advanced
425,0.75,intercepted,block,advanced
426,0.7,intercepted,block,advanced
427,0.75,intercepted,block,advanced
428,0.71,intercepted,block,advanced
429,0.8,intercepted,block,advanced
430,0.69,intercepted,block,advanced
431,0.69,intercepted,block,advanced
432,0.77,intercepted,block,advanced
433,0.73,intercepted,block,advanced
434,0.71,intercepted,block,advanced
435,0.68,intercepted,block,advanced
436,0.64,susceptible,attempt,advanced
437,0.81,intercepted,block,advanced
438,0.75,intercepted,block,advanced
439,0.82,intercepted,block,advanced
440,0.75,intercepted,block,advanced
441,0.69,intercepted,block,advanced
442,0.62,susceptible,attempt,advanced
443,0.75,intercepted,block,advanced
444,0.8,intercepted,block,advanced
445,0.72,intercepted,block,advanced
446,0.85,intercepted,block,advanced
447,0.73,intercepted,block,advanced
448,0.72,intercepted,block,advanced
449,0.71,intercepted,block,advanced
450,0.63,susceptible,attempt,advanced
451,0.65,intercepted,block,advanced
452,0.86,intercepted,block,advanced
453,0.77,intercepted,block,advanced
454,0.68,intercepted,block,advanced
455,0.77,intercepted,block,advanced
456,0.7,intercepted,block,advanced
457,0.7,intercepted,block,advanced
458,0.69,intercepted,block,advanced
459,0.72,intercepted,block,advanced
460,0.84,intercepted,block,advanced
461,0.79,intercepted,block,advanced
462,0.76,intercepted,block,advanced
463,0.77,intercepted,block,advanced
464,0.81,intercepted,block,advanced
465,0.71,intercepted,block,advanced
466,0.69,intercepted,block,advanced
467,0.75,intercepted,block,advanced
468,0.7,intercepted,block,advanced
469,0.66,intercepted,block,advanced
470,0.81,intercepted,block,advanced
471,0.74,intercepted,block,advanced
472,0.7,intercepted,block,advanced
473,0.76,intercepted,block,advanced
474,0.65,intercepted,block,advanced
475,0.74,intercepted,block,advanced
476,0.75,intercepted,block,advanced
477,0.69,intercepted,block,advanced
478,0.8,intercepted,block,advanced
479,0.68,intercepted,block,advanced
480,0.61,susceptible,attempt,advanced
481,0.73,intercepted,block,advanced
482,0.71,intercepted,block,advanced
483,0.71,intercepted,block,advanced
484,0.78,intercepted,block,advanced
485,0.61,susceptible,attempt,advanced
486,0.75,intercepted,block,advanced
487,0.68,intercepted,block,advanced
488,0.79,intercepted,block,advanced
489,0.76,intercepted,block,advanced
490,0.71,intercepted,block,advanced
491,0.72,intercepted,block,advanced
492,0.75,intercepted,block,advanced
493,0.78,intercepted,block,advanced
494,0.78,intercepted,block,advanced
495,0.73,intercepted,block,advanced
496,0.69,intercepted,block,advanced
497,0.7,intercepted,block,advanced
498,0.66,intercepted,block,advanced
499,0.52,susceptible,attempt,advanced
500,0.67,intercepted,block,advanced
501,0.64,susceptible,attempt,advanced
502,0.72,intercepted,block,advanced
503,0.86,intercepted,block,advanced
504,0.8,intercepted,block,advanced
505,0.69,intercepted,block,advanced
506,0.67,intercepted,block,advanced
507,0.71,intercepted,block,advanced
508,0.72,intercepted,block,advanced
509,0.64,susceptible,attempt,advanced
510,0.73,intercepted,block,advanced
511,0.7,intercepted,block,advanced
512,0.67,intercepted,block,advanced
513,0.77,intercepted,block,advanced
514,0.61,susceptible,attempt,advanced
515,0.72,intercepted,block,advanced
516,0.78,intercepted,block,advanced
517,0.76,intercepted,block,advanced
518,0.66,intercepted,block,advanced
519,0.7,intercepted,block,advanced
520,0.77,intercepted,block,advanced
521,0.79,intercepted,block,advanced
522,0.78,intercepted,block,advanced
523,0.81,intercepted,block,advanced
524,0.77,intercepted,block,advanced
525,0.79,intercepted,block,advanced
526,0.74,intercepted,block,advanced
527,0.71,intercepted,block,advanced
528,0.75,intercepted,block,advanced
529,0.72,intercepted,block,advanced
530,0.75,intercepted,block,advanced
531,0.72,intercepted,block,advanced
532,0.7,intercepted,block,advanced
533,0.64,susceptible,attempt,advanced
534,0.67,intercepted,block,advanced
535,0.75,intercepted,block,advanced
